":ID",":LABEL","citation","type","lane"
"RULE_292","Rule","MCR","MCR",""
"RULE_293","Rule","MCR","MCR",""
"RULE_294","Rule","MCR","MCR",""
"RULE_295","Rule","MCR","MCR",""
"RULE_296","Rule","MCR","MCR",""
"RULE_297","Rule","MCR","MCR",""
"RULE_298","Rule","MCR","MCR",""
"RULE_299","Rule","MCR","MCR",""
"RULE_300","Rule","MCR","MCR",""
"RULE_301","Rule","MCR","MCR",""
"RULE_302","Rule","MCR","MCR",""
"RULE_303","Rule","MCR","MCR",""
"RULE_304","Rule","MCR","MCR",""
"RULE_305","Rule","MCR","MCR",""
"RULE_306","Rule","MCR","MCR",""
"RULE_307","Rule","MCR","MCR",""
"RULE_308","Rule","MCR","MCR",""
"RULE_309","Rule","MCR","MCR",""
"RULE_310","Rule","MCR","MCR",""
"RULE_311","Rule","MCR","MCR",""
"RULE_312","Rule","MCR","MCR",""
"RULE_313","Rule","MCR","MCR",""
"RULE_314","Rule","MCR","MCR",""
"RULE_315","Rule","MCR","MCR",""
"RULE_316","Rule","MCR","MCR",""
"RULE_317","Rule","MCR","MCR",""
"RULE_318","Rule","MCR","MCR",""
"RULE_319","Rule","MCR","MCR",""
"RULE_320","Rule","MCR","MCR",""
"RULE_321","Rule","MCR","MCR",""
"RULE_322","Rule","MCR","MCR",""
"RULE_323","Rule","MCR","MCR",""
"RULE_324","Rule","MCR","MCR",""
"RULE_325","Rule","MCR","MCR",""
"RULE_326","Rule","MCR","MCR",""
"RULE_327","Rule","MCR","MCR",""
"RULE_328","Rule","MCR","MCR",""
"RULE_329","Rule","MCR","MCR",""
"RULE_330","Rule","MCR","MCR",""
"RULE_331","Rule","MCR","MCR",""
"RULE_332","Rule","MCR","MCR",""
"RULE_333","Rule","MCR","MCR",""
"RULE_334","Rule","MCR","MCR",""
"RULE_335","Rule","MCR","MCR",""
"RULE_336","Rule","MCR","MCR",""
"RULE_337","Rule","MCR","MCR",""
"RULE_338","Rule","MCR","MCR",""
"RULE_339","Rule","MCR","MCR",""
"RULE_340","Rule","MCR","MCR",""
"RULE_341","Rule","MCR","MCR",""
"RULE_342","Rule","MCR","MCR",""
"RULE_343","Rule","MCR","MCR",""
"RULE_344","Rule","MCR","MCR",""
"RULE_345","Rule","MCR","MCR",""
"RULE_346","Rule","MCR","MCR",""
"RULE_347","Rule","MCR","MCR",""
"RULE_348","Rule","MCR","MCR",""
"RULE_349","Rule","MCR","MCR",""
"RULE_350","Rule","MCR","MCR",""
"RULE_351","Rule","MCR","MCR",""
"RULE_352","Rule","MCR","MCR",""
"RULE_353","Rule","MCR","MCR",""
"RULE_354","Rule","MCR","MCR",""
"RULE_355","Rule","MCR","MCR",""
"RULE_356","Rule","MCR","MCR",""
"RULE_357","Rule","MCR","MCR",""
"RULE_358","Rule","MCR","MCR",""
"RULE_359","Rule","MCR","MCR",""
"RULE_360","Rule","MCR","MCR",""
"RULE_361","Rule","MCR","MCR",""
"RULE_362","Rule","MCR","MCR",""
"RULE_363","Rule","MCR","MCR",""
"RULE_364","Rule","MCR","MCR",""
"RULE_365","Rule","MCR","MCR",""
"RULE_366","Rule","MCR","MCR",""
"RULE_367","Rule","MCR","MCR",""
"RULE_368","Rule","MCR","MCR",""
"RULE_369","Rule","MCR","MCR",""
"RULE_370","Rule","MCR","MCR",""
"RULE_371","Rule","MCR","MCR",""
"RULE_372","Rule","MCR","MCR",""
"RULE_373","Rule","MCR","MCR",""
"RULE_374","Rule","MCR","MCR",""
"RULE_375","Rule","MCR","MCR",""
"RULE_376","Rule","MCR","MCR",""
"RULE_377","Rule","MCR","MCR",""
"RULE_378","Rule","MCR","MCR",""
"RULE_379","Rule","MCR","MCR",""
