anchor_kind,anchor_token,count
MCL,"MCL
              257.323",1
MCR,MCR 7.120,1
MCL,MCL 257.323a,1
MCL,"MCL
              257.303",1
MCL,MCL 257.320,1
MCL,MCL 257.904,1
MCL,"MCL
              257.310d",1
MCL,MCL 257.625f,1
MCL,MCL 257.303,1
MCL,MCL 257.322,1
MCL,MCL 257.204a,1
MCL,MCL 28.425d,1
MCR,"MCR
         7.111",1
MCR,"MCR
              7.123",1
MCR,"MCR
              7.105",1
MCR,"MCR
                        2.116",1
MCL,MCL 211.78t,1
MCR,"MCR
         7.203",1
MCL,MCL 600.4401,1
MCL,MCL 600.4304,1
MCL,MCL 600.8301,1
MCL,MCL 770.12,1
MCL,MCL 770.3,1
MCR,"MCR
              2.602",1
MCR,"MCR
         6.425",1
MCR,MCR 7.217,1
MCR,MCR 7.203,1
MCR,MCR 6.433,1
MCR,"MCR
                         6.310",1
MCR,MCR 6.429,1
MCR,MCR 6.431,1
MCR,"MCR
                   2.112",1
MCR,MCR 2.112,1
MCL,MCL 45.505,1
MCR,"MCR
         7.204",1
MCL,MCL 600.867,1
MCR,"MCR
              7.202",1
MCR,"MCR
                   7.217",1
MCR,"MCR
                        7.205",1
MCR,MCR 7.218,1
MCR,"MCR
                   7.310",1
MCL,MCL 600.2445,1
MCR,MCR 7.310,1
MCR,MCR 7.308,1
MCR,"MCR
                   7.212",1
MCR,MCR 1.112,1
MCR,"MCR
                   7.215",1
MCR,"MCR
         9.126",1
MCR,MCR 7.316,1
MCR,"MCR
         7.305",1
MCR,MCR 7.318,1
