label,count
Node;Violation;recalculated_the_child_support_calculations_and_found_that_child_support_would_be_set_at;Kind_violation,3
L_5_Retroactive_Modification;Surcharge_for_Past_Due_Support;and_Liens_for_Unpaid_Support_Except_as_provided;Node;Violation;Kind_violation,3
Node;Violation;Post_majority_Support_The_following_children_will_be_attending_high_school_on_a_full_time_basis_after_turning;Kind_violation,3
Node;Violation;eviction_pending_regarding_his_living_arrangement_Plaintiff_Father_does_not_have;Kind_violation,3
Node;Violation;a_The_child_support_obligation_that_would_be_ordered_by_applying_the_Michigan_Child_Support_Formula_is;Kind_violation,3
Child_Support_Order;Node;Violation;Kind_violation,3
Node;THE_COURT_FINDS;Violation;Kind_violation,3
Node;The_undersigned_certifies_that_on_May_28;L_2024;she_served_a_true_copy_of;Violation;Kind_violation,3
L_3rd_copy_Friend_of_the_court;Node;Violation;Kind_violation,3
Node;Violation;child_relationship_between_Plaintiff_Father_and_the_minor_child_The_Court_does_not;Kind_violation,3
zurt;Motion_for_Parenting_Time_and_Contempt_of;Node;Violation;Kind_violation,3
Node;Violation;i_The_reasonable_preferences_of_the_child;if_the_court_deems_the_child_to;Kind_violation,3
Node;Violation;he_files_an_additionallfrivolous_MoUon;he_will_incur_sanctions_Plaintiffs_filing_of_these;Kind_violation,3
Node;Violation;the_Court_system_Plaintiff_shall_incur_sanctions_if_he_files_anothetfgivolous_Motton;Kind_violation,3
L_29_USC_1169_To_qualify_this_order;the_friend_of_the_court_shall_issue_a_notice_to_enroll_pursuant_to_MCL_552_626b_A;Authority;Node;Fact;Kind_other,3
see_Tables_1_and_2_As_observed;research_on_the_adult;Node;Violation;Kind_violation,3
Node;Violation;known_addresses_as_defined_by_MCR_3_203_I_also_served_the_Deviation_Addendum_FOC_1_ad_with_this_order_I_declare;Kind_violation,3
All_handling_fees_are_preserved_All_arrears_owed_to_the_State_of_Michigan_are_preserved_All_other_anears_are_preserved_unless;Node;Violation;Kind_violation,3
Motion_for_Protective_Order_and_Sanctions_Motion_to_Quash_Subpoenas_and_for;Court;Node;Violation;Kind_violation,3
Node;Violation;i;ice_current_or;Kind_violation,3
Node;Violation;in_the_current_or_subsequent_Michigan_Child_Support_Formula;monthly_support_charges_shail_abate_and_be_temporarily;Kind_violation,3
DefehdanMother_isOurrent_on_her_moagagd;Node;Violation;Kind_violation,3
Node;Violation;shall_be_FiiJay_at_6_30_p_m_until_Suriday_at_5_30_p;m;with_parenting_tii_r3e_exchanges;Kind_violation,3
IT_IS_F_uRTHER_ORDERED_tiait_Ploiritiff_Father_dhq_l_exercise_parenting_tiriqe_oan;Node;Violation;Kind_violation,3
Node;Violation;currently_with_Plaintiff_Father_Tor_parenting_time;and_despite_this_Order_being_effective;Kind_violation,3
