dataset,source_name,primary_lane,rows,top_signal,avg_signal
pack_old_all,custody_scanned2_0026.pdf.txt,MEEK2,2,20.71,19.384999999999998
pack_old_all,custody_scanned_0035.pdf.txt,MEEK2,2,20.68,20.68
pack_old_all,custody_scanned_0044.pdf.txt,MEEK2,2,20.66,20.59
pack_old_all,custody_scanned_0001.pdf.txt,MEEK2,2,20.65,20.63
pack_old_all,custody_scanned_0031.pdf.txt,MEEK2,2,20.58,20.46
pack_old_all,2sided_judge_orders_scanned_0018.pdf.txt,MEEK2,2,20.51,20.51
pack_old_all,2sided_judge_orders_scanned_0024.pdf.txt,MEEK2,2,20.48,20.48
pack_old_all,custody_scanned_0004.pdf.txt,MEEK2,2,20.3,19.845
pack_old_all,2sided_judge_orders_scanned_0017.pdf.txt,MEEK4,2,19.85,19.85
pack_old_all,2sided_judge_orders_scanned_0003.pdf.txt,MEEK4,2,19.23,19.23
pack_old_all,court_docs_ppo_cust_scanned_0026.pdf.txt,MEEK2,2,18.35,17.23
pack_old_all,2sided_judge_orders_scanned_0009.pdf.txt,MEEK2,2,18.14,18.14
pack_old_all,custody_scanned2_0028.pdf.txt,MEEK2,2,18.12,17.22
pack_old_all,custody_scanned2_0024.pdf.txt,MEEK2,2,18.11,18.095
pack_old_all,court_docs_ppo_cust_scanned_0025.pdf.txt,MEEK2,2,16.7,16.405
pack_old_all,custody_scanned2_0054.pdf.txt,MEEK2,2,16.56,16.35
pack_old_all,custody_scanned_0073.pdf.txt,MEEK2,2,16.56,16.35
pack_old_all,custody_scanned2_0049.pdf.txt,MEEK2,2,16.36,16.225
